"id","originaltext"
"54296","Trample
Whenever Storrev, Devkarin Lich deals combat damage to a player or planeswalker, return to your hand target creature or planeswalker card in your graveyard that wasn't put there this combat."
"49175","{B}: Vector Asp gains infect until end of turn. (It deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.)"
"9964","Flash
Enchant creature
Enchanted creature gets +5/+5 and has trample."
"18341","Flash
When Dualcaster Mage enters the battlefield, copy target instant or sorcery spell. You may choose new targets for the copy."
"33572","Destroy target plains and target white creature, or destroy target island and target blue creature."
"39801","You gain 20 life.
Suspend 10—{W} (Rather than play this card from your hand, you may pay {W} and remove it from the game with ten time counters on it. At the beginning of your upkeep, remove a time counter. When the last is removed, play it without paying"
"18472","You may cast Eternal Scourge from exile.
When Eternal Scourge becomes the target of a spell or ability an opponent controls, exile Eternal Scourge."
"29356","Fiery Finish deals 7 damage to target creature."
"12561","Choose one at random —
• You get an emblem with ""At the beginning of your upkeep, pay {U}{B}{R}. If you don't, you lose the game.""
• Each player discards their hand.
• Planeswalk to Pools of Becoming. (Once there, you can roll the planar die only if you'r"
"17846","Destroy target creature. Create a Food token. (It's an artifact with ""{2}, {T}, Sacrifice this artifact: You gain 3 life."")"
"16060","Choose target creature. Put the top four cards of your library into your graveyard, then that creature gets -1/-1 until end of turn for each land card in your graveyard."
"56537","Zof Bloodbog enters the battlefield tapped.
{T}: Add {B}.


Sorcery
{4}{B}{B}"
"25489","Flying, vigilance, lifelink"
"20595","When Burning-Tree Emissary enters the battlefield, add {R}{G}."
"19031","Discard a card at random: Sonic Burst deals 4 damage to target creature or player."
"21522","Enchant Forest
{2}: Enchanted Forest becomes a 4/4 green Spirit creature until end of turn. It's still a land.
When enchanted Forest is put into a graveyard, you may return Genju of the Cedars from your graveyard to your hand."
"2636","Sacrifice an artifact: +2/+2 until end of turn"
"4258","As long as Storage Matrix is untapped, each player chooses artifact, creature, or land during his or her untap step. That player can untap only permanents of the chosen type this step."
"28331","Incinerate deals 3 damage to target creature or player. A creature dealt damage this way can't be regenerated this turn."
"9225","Creatures can't attack you unless their controller pays {2} for each creature he or she controls that's attacking you."
