"id","full_name"
"36","En Sabah Nur"
"581","Jason Peter Todd"
"640","Thea Dearden Queen"
"76","Lemar Hoskins"
"545","Eobard Thawne"
"633","Cyrus Gold"
"631","Narya"
"696","Mortimer Toynbee"
"742","James Howlett"
"509","Daniel Dreiberg"
"725","Gabriel Summers"
"268","Paul Norbert Ebersol"
"5","Emil Blonsky"
"363","James Bond"
"102","Dinah Drake Lance"
"732","James Proudstar"
"259","Faora Hu-Ul"
"35","Edward Charles Allan Brock"
"239","Jonathan Osterman"
"475","Dr. Nathaniel Essex"
